gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,Japan,0.38
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,Other Region,1.97
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,82,8.4,921,Nintendo,E,North America,4.89
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,82,8.4,921,Nintendo,E,Europe,3
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,82,8.4,921,Nintendo,E,Japan,2.14
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,82,8.4,921,Nintendo,E,Other Region,0.78
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,82,7.5,1112,Polyphony Digital,E,North America,2.96
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,82,7.5,1112,Polyphony Digital,E,Europe,4.82
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,82,7.5,1112,Polyphony Digital,E,Japan,0.81
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84,82,7.5,1112,Polyphony Digital,E,Other Region,2.11
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,North America,6.73
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Europe,2.56
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Japan,0.04
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Other Region,0.91
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,North America,3.66
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Europe,3.14
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Japan,2.47
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Other Region,0.63
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,99,7.9,2045,Bungie,M,North America,7.04
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,99,7.9,2045,Bungie,M,Europe,1.95
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,99,7.9,2045,Bungie,M,Japan,0.08
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91,99,7.9,2045,Bungie,M,Other Region,0.79
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,North America,6.65
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Europe,2.28
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Japan,0.04
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Other Region,0.74
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,24,7.3,24,Ubisoft,E10+,North America,5.8
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,24,7.3,24,Ubisoft,E10+,Europe,2.85
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,24,7.3,24,Ubisoft,E10+,Japan,0.01
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74,24,7.3,24,Ubisoft,E10+,Other Region,0.78
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,North America,2.03
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Europe,2.36
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Japan,4.39
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Other Region,0.39
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,89,8.4,3589,Bethesda Game Studios,M,North America,5.05
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,89,8.4,3589,Bethesda Game Studios,M,Europe,2.79
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,89,8.4,3589,Bethesda Game Studios,M,Japan,0.1
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,96,89,8.4,3589,Bethesda Game Studios,M,Other Region,0.85
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,North America,1.12
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Europe,6.12
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Japan,0.06
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Other Region,1.28
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,42,7.4,54,Nd Cube,E,North America,1.75
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,42,7.4,54,Nd Cube,E,Europe,3.47
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,42,7.4,54,Nd Cube,E,Japan,2.49
Wii Party,Wii,2010,Misc,Nintendo,8.38,68,42,7.4,54,Nd Cube,E,Other Region,0.67
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,37,6.6,348,Electronic Arts,E,North America,1.06
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,37,6.6,348,Electronic Arts,E,Europe,5.01
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,37,6.6,348,Electronic Arts,E,Japan,0.13
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,88,37,6.6,348,Electronic Arts,E,Other Region,1.97
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,39,5.7,1443,Sledgehammer Games,M,North America,2.81
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,39,5.7,1443,Sledgehammer Games,M,Europe,3.48
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,39,5.7,1443,Sledgehammer Games,M,Japan,0.14
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,83,39,5.7,1443,Sledgehammer Games,M,Other Region,1.23
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,North America,0.66
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Europe,5.75
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Japan,0.08
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Other Region,1.11
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E,North America,3.56
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E,Europe,2.35
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E,Japan,0.98
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E,Other Region,0.62
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,57,7.4,2142,EA DICE,M,North America,4.46
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,57,7.4,2142,EA DICE,M,Europe,2.11
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,57,7.4,2142,EA DICE,M,Japan,0.06
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,84,57,7.4,2142,EA DICE,M,Other Region,0.69
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,38,7.5,1761,EA DICE,M,North America,2.85
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,38,7.5,1761,EA DICE,M,Europe,2.89
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,38,7.5,1761,EA DICE,M,Japan,0.35
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,85,38,7.5,1761,EA DICE,M,Other Region,1.08
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,North America,2.53
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Europe,3.27
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Japan,0.24
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Other Region,1.13
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,North America,3.15
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Europe,2.15
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Japan,1.28
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Other Region,0.51
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,97,8.3,3712,Naughty Dog,T,North America,2.77
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,97,8.3,3712,Naughty Dog,T,Europe,2.75
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,97,8.3,3712,Naughty Dog,T,Japan,0.19
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92,97,8.3,3712,Naughty Dog,T,Other Region,1.03
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,73,8.8,2456,Rockstar San Diego,M,North America,2.79
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,73,8.8,2456,Rockstar San Diego,M,Europe,2.53
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,73,8.8,2456,Rockstar San Diego,M,Japan,0.17
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,95,73,8.8,2456,Rockstar San Diego,M,Other Region,0.99
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,North America,0.78
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Europe,4.24
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Japan,0.07
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Other Region,1.37
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,North America,2.64
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Europe,2.52
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Japan,0.16
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Other Region,1.12
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,77,8.6,368,Retro Studios,E,North America,3.17
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,77,8.6,368,Retro Studios,E,Europe,1.79
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,77,8.6,368,Retro Studios,E,Japan,1.03
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,87,77,8.6,368,Retro Studios,E,Other Region,0.46
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,96,9,2316,Rockstar San Diego,M,North America,3.7
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,96,9,2316,Rockstar San Diego,M,Europe,1.95
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,96,9,2316,Rockstar San Diego,M,Japan,0.09
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,95,96,9,2316,Rockstar San Diego,M,Other Region,0.58
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,96,7.8,1504,Epic Games,M,North America,4.05
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,96,7.8,1504,Epic Games,M,Europe,1.59
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,96,7.8,1504,Epic Games,M,Japan,0.07
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91,96,7.8,1504,Epic Games,M,Other Region,0.5
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,Rare Ltd.,E10+,North America,3.92
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,Rare Ltd.,E10+,Europe,1.73
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,Rare Ltd.,E10+,Japan,0.03
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73,51,7.4,95,Rare Ltd.,E10+,Other Region,0.51
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,North America,0.8
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Europe,4.33
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Japan,0.05
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Other Region,0.9
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,North America,2.41
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Europe,2.18
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Japan,0.28
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Other Region,0.99
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,North America,2.49
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Europe,2.07
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Japan,0.16
