gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Europe,5.75
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Japan,0.08
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,Other Region,1.11
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,North America,2.53
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Europe,3.27
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Japan,0.24
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,87,58,6.5,4228,Bethesda Game Studios,M,Other Region,1.13
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,North America,3.15
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Europe,2.15
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Japan,1.28
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,88,82,9.1,1599,Nintendo,E,Other Region,0.51
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,North America,0.78
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Europe,4.24
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Japan,0.07
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,86,37,4.3,576,EA Canada,E,Other Region,1.37
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,North America,2.64
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Europe,2.52
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Japan,0.16
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307,Ubisoft,M,Other Region,1.12
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,North America,0.8
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Europe,4.33
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Japan,0.05
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82,47,5.7,988,EA Sports,E,Other Region,0.9
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,North America,2.41
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Europe,2.18
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Japan,0.28
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95,98,9.1,8003,Naughty Dog,M,Other Region,0.99
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,North America,2.49
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Europe,2.07
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Japan,0.16
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Other Region,0.92
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,North America,1.85
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Europe,2.5
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Japan,0.19
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Other Region,0.85
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,North America,3.13
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Europe,1.69
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Japan,0.03
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Other Region,0.44
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,North America,3.22
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Europe,1.55
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Japan,0.01
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Other Region,0.48
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,North America,2.3
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Europe,1.34
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Japan,1.27
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Other Region,0.32
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,North America,1.09
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Europe,3.47
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Japan,0.03
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Other Region,0.57
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,North America,2.44
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Europe,2.16
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Japan,0
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Other Region,0.54
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,North America,2.07
